,fromNode,toNode,weight,direction,fromAltName,toAltName,p_value
1,ABCB9,ADAMTSL3,-0.62036118712318,undirected,ABCB9,ADAMTSL3,0.000000000000000555
2,ABCB9,ARTN,0.753703357953025,undirected,ABCB9,ARTN,0.000000000000000555
3,ABCB9,ATP2A2,0.703441532821777,undirected,ABCB9,ATP2A2,0.000000000000000555
4,ABCB9,C10orf32,-0.688077666225772,undirected,ABCB9,C10orf32,0.000000000000000555
5,ABCB9,CACNA1C,0.61734496904303,undirected,ABCB9,CACNA1C,0.000000000000000555
6,ABCB9,CALB2,0.694448988487158,undirected,ABCB9,CALB2,0.000000000000000555
7,ABCB9,CHRNA3,0.818465160316382,undirected,ABCB9,CHRNA3,0.000000000000000555
8,ABCB9,CHRNA5,0.62477030312873,undirected,ABCB9,CHRNA5,0.000000000000000555
9,ABCB9,CLP1,0.568719382338694,undirected,ABCB9,CLP1,0.000000000000000555
10,ABCB9,CNNM2,0.679748282201118,undirected,ABCB9,CNNM2,0.000000000000000555
11,ABCB9,CNTN4,0.837122150868202,undirected,ABCB9,CNTN4,0.000000000000000555
12,ABCB9,CPEB1,0.620922910238715,undirected,ABCB9,CPEB1,0.000000000000000555
13,ABCB9,DARS2,0.522878662796565,undirected,ABCB9,DARS2,0.000000000000000555
14,ABCB9,DPYD,-0.594017748295722,undirected,ABCB9,DPYD,0.000000000000000555
15,ABCB9,EMB,0.77380540506065,undirected,ABCB9,EMB,0.000000000000000555
16,ABCB9,GPM6A,-0.630731915658457,undirected,ABCB9,GPM6A,0.000000000000000555
17,ABCB9,HOMER2,0.610246034681396,undirected,ABCB9,HOMER2,0.000000000000000555
18,ABCB9,HSPA9,0.60900765851834,undirected,ABCB9,HSPA9,0.000000000000000555
19,ABCB9,INA,0.730900710614968,undirected,ABCB9,INA,0.000000000000000555
20,ABCB9,KIAA1324L,0.8283634056477,undirected,ABCB9,KIAA1324L,0.000000000000000555
21,ABCB9,L3MBTL2,0.725818277653933,undirected,ABCB9,L3MBTL2,0.000000000000000555
22,ABCB9,MEI1,0.763920851391693,undirected,ABCB9,MEI1,0.000000000000000555
23,ABCB9,NDRG4,0.77023189046437,undirected,ABCB9,NDRG4,0.000000000000000555
24,ABCB9,NISCH,0.859456643370405,undirected,ABCB9,NISCH,0.000000000000000555
25,ABCB9,NMB,0.557219313887004,undirected,ABCB9,NMB,0.000000000000000555
26,ABCB9,PLA2G15,0.806462126898424,undirected,ABCB9,PLA2G15,0.000000000000000555
27,ABCB9,PPTC7,0.713786142408218,undirected,ABCB9,PPTC7,0.000000000000000555
28,ABCB9,PRKCD,0.616540590496417,undirected,ABCB9,PRKCD,0.000000000000000555
29,ABCB9,REEP2,0.926238775203252,undirected,ABCB9,REEP2,0.000000000000000555
30,ABCB9,SLC45A1,0.677785632953284,undirected,ABCB9,SLC45A1,0.000000000000000555
31,ABCB9,SLC5A10,0.801068025830463,undirected,ABCB9,SLC5A10,0.000000000000000555
32,ABCB9,SLC6A11,0.639323015461794,undirected,ABCB9,SLC6A11,0.000000000000000555
33,ABCB9,ST3GAL3,0.680524572456346,undirected,ABCB9,ST3GAL3,0.000000000000000555
34,ABCB9,TARS2,0.769244766109604,undirected,ABCB9,TARS2,0.000000000000000555
35,ABCB9,TCF4,-0.615972425968368,undirected,ABCB9,TCF4,0.000000000000000555
36,ABCB9,TKT,0.855979425614553,undirected,ABCB9,TKT,0.000000000000000555
37,ABCB9,TMX2,0.70576972690229,undirected,ABCB9,TMX2,0.000000000000000555
38,ABCB9,TMX2-CTNND1,0.549644423136303,undirected,ABCB9,TMX2-CTNND1,0.000000000000000555
39,ABCB9,ZDHHC5,0.668133102699159,undirected,ABCB9,ZDHHC5,0.000000000000000555
40,ADAMTSL3,ARL3,-0.709393480709408,undirected,ADAMTSL3,ARL3,0.000000000941
41,ADAMTSL3,ARTN,-0.547333733082078,undirected,ADAMTSL3,ARTN,0.000000000941
42,ADAMTSL3,ATP2A2,-0.664056092304851,undirected,ADAMTSL3,ATP2A2,0.000000000941
43,ADAMTSL3,CACNA1C,-0.535099200681287,undirected,ADAMTSL3,CACNA1C,0.000000000941
44,ADAMTSL3,CALB2,-0.611842727866412,undirected,ADAMTSL3,CALB2,0.000000000941
45,ADAMTSL3,CHRNA3,-0.602387336871849,undirected,ADAMTSL3,CHRNA3,0.000000000941
46,ADAMTSL3,CLP1,-0.629252762254967,undirected,ADAMTSL3,CLP1,0.000000000941
47,ADAMTSL3,CNTN4,-0.650651475448472,undirected,ADAMTSL3,CNTN4,0.000000000941
48,ADAMTSL3,DARS2,-0.589305383326103,undirected,ADAMTSL3,DARS2,0.000000000941
49,ADAMTSL3,DNAJC19,-0.592628420357042,undirected,ADAMTSL3,DNAJC19,0.000000000941
50,ADAMTSL3,EMB,-0.525397012094356,undirected,ADAMTSL3,EMB,0.000000000941
51,ADAMTSL3,HSPA9,-0.530685971802138,undirected,ADAMTSL3,HSPA9,0.000000000941
52,ADAMTSL3,INA,-0.592463011535465,undirected,ADAMTSL3,INA,0.000000000941
53,ADAMTSL3,INPP4B,-0.52587979888904,undirected,ADAMTSL3,INPP4B,0.000000000941
54,ADAMTSL3,KIAA1324L,-0.641421182701151,undirected,ADAMTSL3,KIAA1324L,0.000000000941
55,ADAMTSL3,L3MBTL2,-0.601025921464925,undirected,ADAMTSL3,L3MBTL2,0.000000000941
56,ADAMTSL3,MEI1,-0.602774042877907,undirected,ADAMTSL3,MEI1,0.000000000941
