,fromNode,toNode,weight,direction,fromAltName,toAltName
74,ABCB1,TMEM110-MUSTN1,0.595236591363335,undirected,ABCB1,TMEM110-MUSTN1
75,ABCB1,TMEM219,0.56251593938657,undirected,ABCB1,TMEM219
76,ABCB1,TMX2,0.63322975013919,undirected,ABCB1,TMX2
77,ABCB1,TOM1L2,0.598403702924682,undirected,ABCB1,TOM1L2
78,ABCB1,TRIM8,0.654277898830959,undirected,ABCB1,TRIM8
79,ABCB1,WDR82,-0.611587467111743,undirected,ABCB1,WDR82
80,ABCB1,WHSC1L1,-0.572186992220134,undirected,ABCB1,WHSC1L1
81,ABCB1,ZFYVE21,0.746269647644591,undirected,ABCB1,ZFYVE21
82,ABCB1,ZSCAN2,-0.527238613317057,undirected,ABCB1,ZSCAN2
83,ABCB4,ACP2,0.661029739988978,undirected,ABCB4,ACP2
84,ABCB4,ACTR1A,-0.853998534724806,undirected,ABCB4,ACTR1A
85,ABCB4,ACTR5,0.548421807002738,undirected,ABCB4,ACTR5
86,ABCB4,ADAMTSL4,0.704298251510086,undirected,ABCB4,ADAMTSL4
87,ABCB4,ALDOA,0.513585238119062,undirected,ABCB4,ALDOA
88,ABCB4,ALPK3,0.52819468293024,undirected,ABCB4,ALPK3
89,ABCB4,AMBRA1,-0.727500417706487,undirected,ABCB4,AMBRA1
90,ABCB4,ANAPC7,0.768873689917751,undirected,ABCB4,ANAPC7
91,ABCB4,ANKRD13A,0.850624004646424,undirected,ABCB4,ANKRD13A
92,ABCB4,ANKRD45,-0.619012327704781,undirected,ABCB4,ANKRD45
93,ABCB4,ANP32E,0.837226277726769,undirected,ABCB4,ANP32E
94,ABCB4,ANXA9,0.574736519893553,undirected,ABCB4,ANXA9
95,ABCB4,AP3B2,-0.553055280720289,undirected,ABCB4,AP3B2
96,ABCB4,APH1A,0.836969092280556,undirected,ABCB4,APH1A
97,ABCB4,ARNT,0.858287298008235,undirected,ABCB4,ARNT
98,ABCB4,BANK1,0.606368814005114,undirected,ABCB4,BANK1
99,ABCB4,BCL2L12,0.968610020247251,undirected,ABCB4,BCL2L12
100,ABCB4,BNIPL,0.839306437579225,undirected,ABCB4,BNIPL
101,ABCB4,BOLL,0.779565811786113,undirected,ABCB4,BOLL
102,ABCB4,C10orf32,0.841330374494037,undirected,ABCB4,C10orf32
103,ABCB4,C12orf65,0.505021848336502,undirected,ABCB4,C12orf65
104,ABCB4,C1orf54,0.718758954048572,undirected,ABCB4,C1orf54
105,ABCB4,C1orf56,0.808570372293884,undirected,ABCB4,C1orf56
106,ABCB4,C2orf78,0.721294454457491,undirected,ABCB4,C2orf78
107,ABCB4,CA14,0.94037623086534,undirected,ABCB4,CA14
108,ABCB4,CA8,0.757060179902543,undirected,ABCB4,CA8
109,ABCB4,CACNA1C,-0.648866113494763,undirected,ABCB4,CACNA1C
110,ABCB4,CACNA1I,-0.750972996326806,undirected,ABCB4,CACNA1I
111,ABCB4,CALHM2,0.965538147938302,undirected,ABCB4,CALHM2
112,ABCB4,CALHM3,-0.677802228785663,undirected,ABCB4,CALHM3
113,ABCB4,CCDC134,0.7230199264095,undirected,ABCB4,CCDC134
114,ABCB4,CDC20,0.688450261453134,undirected,ABCB4,CDC20
115,ABCB4,CDC23,0.910752325356322,undirected,ABCB4,CDC23
116,ABCB4,CDC25C,0.73438039870154,undirected,ABCB4,CDC25C
117,ABCB4,CDC42SE1,0.738589172583716,undirected,ABCB4,CDC42SE1
118,ABCB4,CDK2AP1,0.894231063979838,undirected,ABCB4,CDK2AP1
119,ABCB4,CENPL,0.69066042034247,undirected,ABCB4,CENPL
120,ABCB4,CENPM,0.801989697438328,undirected,ABCB4,CENPM
121,ABCB4,CENPT,0.535319876451681,undirected,ABCB4,CENPT
122,ABCB4,CEP170,-0.668483744351179,undirected,ABCB4,CEP170
123,ABCB4,CERS2,0.930617462537606,undirected,ABCB4,CERS2
124,ABCB4,CHRNA3,0.804684443176037,undirected,ABCB4,CHRNA3
125,ABCB4,CHST4,0.721604296001076,undirected,ABCB4,CHST4
126,ABCB4,CLCN3,0.756225530719954,undirected,ABCB4,CLCN3
127,ABCB4,CLU,0.519305438916801,undirected,ABCB4,CLU
128,ABCB4,CPEB1,0.632274505703963,undirected,ABCB4,CPEB1
129,ABCB4,CTNND1,0.60796952035903,undirected,ABCB4,CTNND1
130,ABCB4,DDB2,0.718908314689841,undirected,ABCB4,DDB2
131,ABCB4,DDX28,-0.51900017453219,undirected,ABCB4,DDX28
132,ABCB4,DEPDC1B,0.614354151779331,undirected,ABCB4,DEPDC1B
133,ABCB4,DMTF1,0.625556576143958,undirected,ABCB4,DMTF1
134,ABCB4,DNAH1,0.778476039019195,undirected,ABCB4,DNAH1
135,ABCB4,DNAJC19,0.526035665145703,undirected,ABCB4,DNAJC19
136,ABCB4,DOC2A,-0.654267903683898,undirected,ABCB4,DOC2A
137,ABCB4,DPEP3,0.663971257080581,undirected,ABCB4,DPEP3
138,ABCB4,DRG2,0.91518630291019,undirected,ABCB4,DRG2
139,ABCB4,ECM1,0.587981590220339,undirected,ABCB4,ECM1
140,ABCB4,EDC4,-0.511982691163778,undirected,ABCB4,EDC4
141,ABCB4,ELOVL1,0.550681741647122,undirected,ABCB4,ELOVL1
142,ABCB4,EPHX2,0.928006897633835,undirected,ABCB4,EPHX2
143,ABCB4,ERI1,0.693200001493882,undirected,ABCB4,ERI1
144,ABCB4,ESRP2,0.858010458436852,undirected,ABCB4,ESRP2
145,ABCB4,F2,0.638834164788911,undirected,ABCB4,F2
146,ABCB4,FAM154B,0.787889969596168,undirected,ABCB4,FAM154B
147,ABCB4,FAM53C,0.924316275335318,undirected,ABCB4,FAM53C
148,ABCB4,FAM57B,-0.567839480851398,undirected,ABCB4,FAM57B
149,ABCB4,FAM63A,0.739541760425209,undirected,ABCB4,FAM63A
150,ABCB4,FGFR1,0.944817808826725,undirected,ABCB4,FGFR1
151,ABCB4,FHIT,0.551632670287364,undirected,ABCB4,FHIT
152,ABCB4,FSD2,0.67987946073452,undirected,ABCB4,FSD2
153,ABCB4,FSHB,0.784199779142437,undirected,ABCB4,FSHB
154,ABCB4,FTSJ2,0.555633343693978,undirected,ABCB4,FTSJ2
155,ABCB4,GATAD2A,0.639310943813971,undirected,ABCB4,GATAD2A
