"","Module","GO Term","GO Process","FDR","Genes"
"41","turquoise","GO:0016043","cellular component organization","1.00485265017517e-08","473 (RERE)|488 (ATP2A2)|783 (CACNB2)|1136 (CHRNA3)|2107 (ETF1)|5796 (PTPRK)|6925 (TCF4)|8379 (MAD1L1)|9070 (ASH2L)|9779 (TBC1D5)|22905 (EPN2)|55167 (MSL2)|55626 (AMBRA1)|64919 (BCL11B)|65057 (ACD)|79568 (MAIP1)|79913 (ACTR5)|80031 (SEMA6D)|83943 (IMMP2L)|90952 (ESAM)|91869 (RFT1)|131149 (OTOL1)|348980 (HCN1)|399979 (SNX19)"
"42","turquoise","GO:0071870","cellular response to catecholamine stimulus","1.71395967476629e-08","473 (RERE)|488 (ATP2A2)|783 (CACNB2)|1136 (CHRNA3)|2107 (ETF1)|5796 (PTPRK)|6925 (TCF4)|8379 (MAD1L1)|9070 (ASH2L)|9779 (TBC1D5)|22905 (EPN2)|55167 (MSL2)|55626 (AMBRA1)|64919 (BCL11B)|65057 (ACD)|79568 (MAIP1)|79913 (ACTR5)|80031 (SEMA6D)|83943 (IMMP2L)|90952 (ESAM)|91869 (RFT1)|131149 (OTOL1)|348980 (HCN1)|399979 (SNX19)"
"43","turquoise","GO:0050794","regulation of cellular process","8.55104880662721e-08","473 (RERE)|488 (ATP2A2)|767 (CA8)|783 (CACNB2)|794 (CALB2)|1136 (CHRNA3)|2107 (ETF1)|2903 (GRIN2A)|5142 (PDE4B)|5796 (PTPRK)|6925 (TCF4)|8379 (MAD1L1)|8821 (INPP4B)|9070 (ASH2L)|9162 (DGKI)|9293 (GPR52)|9651 (PLCH2)|9779 (TBC1D5)|22905 (EPN2)|27086 (FOXP1)|54715 (RBFOX1)|55120 (FANCL)|55552 (ZNF823)|55626 (AMBRA1)|64919 (BCL11B)|65057 (ACD)|79913 (ACTR5)|80031 (SEMA6D)|348980 (HCN1)"
"44","turquoise","GO:0043167","ion binding","3.70952434926822e-07","473 (RERE)|488 (ATP2A2)|767 (CA8)|794 (CALB2)|1136 (CHRNA3)|1806 (DPYD)|2903 (GRIN2A)|5142 (PDE4B)|9070 (ASH2L)|9162 (DGKI)|9651 (PLCH2)|23457 (ABCB9)|27086 (FOXP1)|27087 (B3GAT1)|55120 (FANCL)|55167 (MSL2)|55552 (ZNF823)|64919 (BCL11B)|131149 (OTOL1)|144402 (CPNE8)|348980 (HCN1)|399979 (SNX19)"
"45","turquoise","GO:0043227","membrane-bounded organelle","4.26465968771095e-07","473 (RERE)|488 (ATP2A2)|794 (CALB2)|2903 (GRIN2A)|5142 (PDE4B)|5796 (PTPRK)|6925 (TCF4)|8379 (MAD1L1)|9070 (ASH2L)|9162 (DGKI)|9779 (TBC1D5)|22905 (EPN2)|23033 (DOP1A)|23457 (ABCB9)|27086 (FOXP1)|27087 (B3GAT1)|54715 (RBFOX1)|55120 (FANCL)|55167 (MSL2)|55552 (ZNF823)|55626 (AMBRA1)|64919 (BCL11B)|65057 (ACD)|79568 (MAIP1)|79913 (ACTR5)|80031 (SEMA6D)|83943 (IMMP2L)|91869 (RFT1)|144402 (CPNE8)|399979 (SNX19)"
"46","turquoise","GO:0032501","multicellular organismal process","4.26465968771095e-07","473 (RERE)|488 (ATP2A2)|783 (CACNB2)|1136 (CHRNA3)|2903 (GRIN2A)|4978 (OPCML)|5142 (PDE4B)|5796 (PTPRK)|6925 (TCF4)|8379 (MAD1L1)|9070 (ASH2L)|9162 (DGKI)|22905 (EPN2)|27086 (FOXP1)|54715 (RBFOX1)|55120 (FANCL)|55626 (AMBRA1)|64919 (BCL11B)|80031 (SEMA6D)|83943 (IMMP2L)|131149 (OTOL1)|348980 (HCN1)|389084 (SNORC)|399979 (SNX19)"
"47","turquoise","GO:0050789","regulation of biological process","4.60392382759186e-07","473 (RERE)|488 (ATP2A2)|767 (CA8)|783 (CACNB2)|794 (CALB2)|1136 (CHRNA3)|2107 (ETF1)|2903 (GRIN2A)|5142 (PDE4B)|5796 (PTPRK)|6925 (TCF4)|8379 (MAD1L1)|8821 (INPP4B)|9070 (ASH2L)|9162 (DGKI)|9293 (GPR52)|9651 (PLCH2)|9779 (TBC1D5)|22905 (EPN2)|27086 (FOXP1)|54715 (RBFOX1)|55120 (FANCL)|55552 (ZNF823)|55626 (AMBRA1)|64919 (BCL11B)|65057 (ACD)|79913 (ACTR5)|80031 (SEMA6D)|348980 (HCN1)"
"48","turquoise","GO:0043226","organelle","4.7979369613664e-07","473 (RERE)|488 (ATP2A2)|794 (CALB2)|1136 (CHRNA3)|2903 (GRIN2A)|5142 (PDE4B)|5796 (PTPRK)|6925 (TCF4)|8379 (MAD1L1)|9070 (ASH2L)|9162 (DGKI)|9779 (TBC1D5)|22905 (EPN2)|23033 (DOP1A)|23457 (ABCB9)|27086 (FOXP1)|27087 (B3GAT1)|54715 (RBFOX1)|55120 (FANCL)|55167 (MSL2)|55552 (ZNF823)|55626 (AMBRA1)|64919 (BCL11B)|65057 (ACD)|79568 (MAIP1)|79913 (ACTR5)|80031 (SEMA6D)|83943 (IMMP2L)|91869 (RFT1)|144402 (CPNE8)|399979 (SNX19)"
"49","turquoise","GO:0016020","membrane","5.11517657409878e-07","488 (ATP2A2)|783 (CACNB2)|794 (CALB2)|1136 (CHRNA3)|2903 (GRIN2A)|4978 (OPCML)|5142 (PDE4B)|5796 (PTPRK)|9162 (DGKI)|9293 (GPR52)|9651 (PLCH2)|9779 (TBC1D5)|22905 (EPN2)|23033 (DOP1A)|23457 (ABCB9)|27087 (B3GAT1)|55626 (AMBRA1)|79568 (MAIP1)|80031 (SEMA6D)|83943 (IMMP2L)|90952 (ESAM)|91869 (RFT1)|144402 (CPNE8)|348980 (HCN1)|389084 (SNORC)|399979 (SNX19)"
"50","turquoise","GO:0032991","protein-containing complex","8.5688575143234e-07","473 (RERE)|488 (ATP2A2)|783 (CACNB2)|1136 (CHRNA3)|2107 (ETF1)|2903 (GRIN2A)|5142 (PDE4B)|6925 (TCF4)|8379 (MAD1L1)|9070 (ASH2L)|9162 (DGKI)|9779 (TBC1D5)|22905 (EPN2)|55120 (FANCL)|55167 (MSL2)|65057 (ACD)|79913 (ACTR5)|83943 (IMMP2L)|90952 (ESAM)|131149 (OTOL1)|348980 (HCN1)"
"51","turquoise","GO:0051234","establishment of localization","1.06460465668384e-06","488 (ATP2A2)|783 (CACNB2)|1136 (CHRNA3)|2903 (GRIN2A)|5142 (PDE4B)|8379 (MAD1L1)|9162 (DGKI)|9651 (PLCH2)|9779 (TBC1D5)|22905 (EPN2)|23033 (DOP1A)|23457 (ABCB9)|27086 (FOXP1)|54715 (RBFOX1)|65057 (ACD)|79568 (MAIP1)|83943 (IMMP2L)|91869 (RFT1)|348980 (HCN1)|399979 (SNX19)"
"52","turquoise","GO:0043169","cation binding","1.80822477763985e-06","473 (RERE)|488 (ATP2A2)|767 (CA8)|794 (CALB2)|1136 (CHRNA3)|1806 (DPYD)|2903 (GRIN2A)|5142 (PDE4B)|9070 (ASH2L)|9162 (DGKI)|9651 (PLCH2)|27086 (FOXP1)|27087 (B3GAT1)|55120 (FANCL)|55167 (MSL2)|55552 (ZNF823)|64919 (BCL11B)|131149 (OTOL1)"
"53","turquoise","GO:0048731","system development","1.96695822631756e-06","473 (RERE)|1136 (CHRNA3)|2903 (GRIN2A)|4978 (OPCML)|5796 (PTPRK)|6925 (TCF4)|8379 (MAD1L1)|9070 (ASH2L)|22905 (EPN2)|27086 (FOXP1)|54715 (RBFOX1)|55626 (AMBRA1)|64919 (BCL11B)|80031 (SEMA6D)|83943 (IMMP2L)|131149 (OTOL1)|348980 (HCN1)|389084 (SNORC)|399979 (SNX19)"
