"","geneIDs","moduleColor"
"412","SPCS1","blue"
"413","SREBF1","blue"
"414","SREBF2","blue"
"415","SRPK2","blue"
"416","SRR","blue"
"417","ST13","blue"
"418","ST3GAL3","blue"
"419","STAB1","blue"
"420","STAC3","blue"
"421","STAG1","blue"
"422","STAMBP","blue"
"424","SUFU","blue"
"425","SUGP1","blue"
"426","SZT2","blue"
"427","TAC3","blue"
"428","TAF5","blue"
"429","TAOK2","blue"
"430","TARS2","blue"
"431","TBC1D2","blue"
"432","TBC1D5","blue"
"433","TBX6","blue"
"435","TCF4","blue"
"436","TCHP","blue"
"437","TCTN1","blue"
"438","TDRD9","blue"
"439","TEF","blue"
"440","THAP11","blue"
"441","THOC7","blue"
"442","TKT","blue"
"443","TLR9","blue"
"444","TM6SF2","blue"
"445","TMEM110","blue"
"446","TMEM110-MUSTN1","blue"
"447","TMEM161B","blue"
"448","TMEM180","blue"
"449","TMEM194A","blue"
"450","TMEM219","blue"
"451","TMX2","blue"
"452","TMX2-CTNND1","blue"
"454","TNKS","blue"
"455","TNNC1","blue"
"456","TOB2","blue"
"457","TOM1L2","blue"
"458","TPRKB","blue"
"459","TRANK1","blue"
"460","TRIM8","blue"
"461","TRMT61A","blue"
"462","TRPV4","blue"
"464","TSNAXIP1","blue"
"465","TWF2","blue"
"466","TYW5","blue"
"467","USMG5","blue"
"468","VPS29","blue"
"469","VPS37B","blue"
"470","VPS45","blue"
"471","VRK2","blue"
"473","WBP2NL","blue"
"474","WDR73","blue"
"475","WDR82","blue"
"476","WHAMM","blue"
"477","WHSC1L1","blue"
"478","XPNPEP3","blue"
"479","XRCC3","blue"
"480","XRCC6","blue"
"481","YPEL3","blue"
"482","YPEL4","blue"
"483","ZBTB37","blue"
"485","ZDHHC5","blue"
"486","ZEB2","blue"
"487","ZFYVE21","blue"
"488","ZNF19","blue"
"490","ZNF281","blue"
"491","ZNF408","blue"
"492","ZNF440","blue"
"493","ZNF441","blue"
"494","ZNF491","blue"
"495","ZNF536","blue"
"496","ZNF592","blue"
"497","ZNF804A","blue"
"498","ZNF823","blue"
"499","ZSCAN2","blue"
