colours
green
green
green
green
green
green
green
green
green
brown
green
brown
brown
green
green
green
green
green
green
green
brown
green
green
green
green
brown
green
brown
green
green
brown
green
brown
green
green
green
green
green
green
green
green
green
green
green
green
brown
green
brown
brown
green
brown
green
brown
brown
green
green
green
green
green
brown
green
green
green
green
green
green
green
green
brown
brown
green
brown
brown
green
green
brown
green
brown
brown
green
brown
green
green
green
green
green
brown
green
green
green
green
green
green
green
brown
green
green
green
green
brown
green
green
green
green
green
brown
green
green
green
brown
green
brown
green
green
green
green
brown
green
green
brown
green
brown
green
green
brown
green
brown
green
green
brown
green
brown
green
brown
brown
green
green
brown
green
green
green
green
brown
green
green
green
brown
brown
green
green
brown
brown
green
green
green
green
green
green
green
brown
green
brown
green
brown
green
brown
green
green
brown
green
green
brown
brown
green
green
green
brown
green
green
green
green
green
green
green
brown
green
brown
green
brown
green
green
green
brown
green
green
green
brown
green
green
green
brown
green
green
green
brown
brown
green
green
green
green
green
green
green
brown
green
brown
green
brown
green
green
brown
green
brown
green
green
green
brown
green
green
brown
brown
green
green
green
brown
green
green
green
green
brown
brown
green
brown
brown
green
brown
green
green
green
brown
brown
green
green
brown
brown
green
brown
green
green
green
brown
brown
brown
green
brown
green
green
green
brown
green
green
green
green
green
green
green
green
green
brown
green
green
green
green
green
green
green
green
brown
green
green
green
green
green
green
green
green
brown
brown
brown
green
green
green
green
green
brown
brown
brown
green
green
green
green
green
green
green
green
green
green
green
brown
brown
green
green
green
green
green
green
green
green
green
green
brown
green
green
green
green
green
green
green
green
green
green
green
brown
brown
brown
green
green
green
green
brown
brown
brown
green
green
brown
green
green
green
brown
green
brown
green
green
green
brown
brown
green
green
green
green
green
green
brown
green
brown
brown
brown
green
green
green
green
green
green
brown
green
brown
green
brown
green
green
green
brown
green
brown
green
green
green
green
green
green
green
green
green
green
green
green
green
brown
green
green
brown
green
brown
green
brown
brown
green
green
green
green
green
brown
green
green
green
green
green
green
green
green
green
green
brown
green
brown
green
brown
green
green
green
brown
green
green
green
brown
green
green
green
green
brown
green
green
green
green
green
green
green
green
green
green
brown
brown
green
brown
brown
brown
brown
brown
green
green
green
green
green
green
green
green
green
green
green
green
brown
green
green
green
green
green
green
green
brown
green
green
green
green
green
green
green
green
green
brown
